Код теста;Исследование ;Название в ЛИС;Состояние натощак;Исследуемый биоматериал;Номер контейнера;Важные ПРЕАНАЛИТИЧЕСКИЕ замечания ;Тип ПЕРВИЧНОГО контейнера;Тип контейнера для ХРАНЕНИЯ и ТРАНСПОРТИРОВКИ;Температура хранения и транспортировки;Правила взятия и пробоподготовки биоматериала
AN194TT;Тромбиновое время ;Тромбиновое время ;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN19ОбС;Коагулограмма (АЧТВ#comma# протромбиновое время#comma# тромбиновое время#comma# фибриноген);AN19ОБС;13 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN8ALT;АЛТ (аланинаминотрансфераза);АлАТ;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN9AST;АСТ (аспартатаминотрансфераза);АсАТ;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN10ALB;Альбумин;Альбумин;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN11AMY;Альфа - амилаза ;Альфа - амилаза ;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN13B-T;Билирубин общий;Билирубин общий;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN14B-D;Билирубин прямой;Билирубин прямой;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN15GGT;ГГТ (гамма-глутамилтрансфераза);Гамма-ГТ;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN16GLU;Глюкоза;Глюкоза;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN17FRU;Фруктозамин;Фруктозамин;12 ч;сыворотка крови;981;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN19CK;КФК общая (креатинфосфокиназа);Креатинкиназа;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN20FPL;Липаза панкреатическая (кошки);Липаза панкреатическая (кошки);12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN21CPL;Липаза панкреатическая (собаки);Липаза панкреатическая (собаки);12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN22CRE;Креатинин;Креатинин;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN46SDMA;СДМА (Симметричный диметиларгинин);СДМА (Симметричный диметиларгинин);12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN23LIP;Липаза общая;Липаза;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN24LDH;ЛДГ (лактатдегидрогеназа);ЛДГ;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN26UREA;Мочевина;Мочевина;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN27UA;Мочевая кислота;Мочевая кислота;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN28TP;Белок общий;Белок общий;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN30TG;Триглицериды;Триглицериды;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN31CHOL;Холестерин;Холестерин;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN36ALP;Щелочная фосфатаза;Фосфатаза щелочная;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN37CA;Кальций общий;Кальций;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN38AC;Желчные кислоты (две пробы);Желчные кислоты;;сыворотка крови;800#comma# 842;Профиль из 2 проб ж.к-т. Первая берется стрго натощак#comma# вторая через 2 часа после кормления;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN42ACF;Желчные кислоты (одна проба натощак);Желчные кислоты (натощак);12 ч;сыворотка крови;800;проба №1 - стогий голод 12 часов!;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
